Anketa_Number;A_1;A_2;A_3;A_4;A_5;A_6;A_7;A_8;A_9;A_10;A_11;B_1;B_2;B_3;B_4;B_5;B_6;C1_1;C1_2;C2_1;C2_2;C3_1;C3_2;C4_1;C4_2;C5_1;C5_2;C6_1;C6_2;C7_1;C7_2;C8_1;C8_2;C9_1;C9_2;C10_1;C10_2;Expert;
anketa_10009;6;6;6;6;5;5;6;5;3;5;4;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;
Anketa_10011;7;5;7;1;7;7;3;6;7;7;5;1;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;
anketa_10012;2;4;7;7;6;6;1;6;4;6;6;0;0;1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;
anketa_10014;7;5;7;4;5;3;2;4;3;7;3;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;
anketa_10016;7;5;7;7;7;6;4;5;6;7;5;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
Anketa_10017;7;5;7;7;7;6;4;5;6;7;5;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;
anketa_10018;2;3;7;7;5;5;1;4;2;7;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;
anketa_10019;6;4;7;7;5;5;1;3;1;7;1;1;1;1;1;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;
anketa_10020;7;7;7;7;7;7;7;4;6;7;6;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;
anketa_10021;6;5;5;2;3;5;3;1;1;5;1;1;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10022;7;5;7;7;5;6;1;3;2;7;3;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Anketa_10023;7;7;7;7;7;7;7;7;7;7;7;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
anketa_10024;4;4;2;4;4;6;6;3;2;6;1;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;
anketa_10025;4;2;4;2;2;4;1;5;2;7;5;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10026;7;7;7;7;7;7;2;4;4;7;5;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;
anketa_10027;2;6;7;6;5;5;4;5;6;7;4;0;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;
anketa_10028;6;5;7;6;4;6;3;4;3;5;2;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;
anketa_10029;7;4;4;4;4;7;2;5;4;5;5;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;
anketa_10030;5;7;7;7;5;7;7;4;5;7;6;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;
anketa_10031;7;7;7;7;7;7;5;5;6;7;5;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;
anketa_10032;3;6;5;6;6;7;2;5;5;7;5;0;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;0;
anketa_10033;4;2;5;7;4;2;1;4;7;7;2;1;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;1;1;1;0;
anketa_10034;6;7;7;7;7;7;2;5;3;7;3;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;1;1;1;0;
anketa_10035;7;7;6;5;4;5;3;5;2;5;2;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;
anketa_10036;7;6;7;7;4;7;7;7;5;6;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10037;7;7;5;7;7;7;1;7;6;7;4;1;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10038;7;7;7;7;7;7;4;3;2;7;2;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10039;3;1;1;5;2;3;1;4;1;4;2;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10040;6;4;7;7;6;7;1;5;2;7;3;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;
anketa_10041;6;6;7;7;6;7;2;4;4;7;7;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;0;
anketa_10042;6;6;5;5;5;4;4;4;4;7;2;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;
anketa_10043;6;6;7;7;6;7;6;4;7;7;4;1;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;
anketa_10044;4;7;7;7;6;7;2;2;3;5;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;
anketa_10045;7;7;7;7;7;7;4;6;7;7;6;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;1;0;1;0;0;0;1;0;
anketa_10046;1;5;7;7;4;4;5;4;4;7;4;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;
anketa_10047;1;4;6;6;6;6;7;4;6;7;6;1;0;1;0;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;1;1;1;1;0;0;1;0;
anketa_10048;6;6;7;7;7;7;7;4;1;6;2;0;1;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;
anketa_10049;7;7;7;7;6;5;7;4;3;7;2;1;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;
anketa_10051;1;5;1;5;4;6;7;6;5;7;6;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1;1;1;1;0;0;0;1;0;
anketa_10053;5;4;6;7;4;5;1;5;4;4;6;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;1;1;0;0;0;1;1;0;
anketa_10054;5;5;6;6;5;6;3;5;6;6;5;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;
anketa_10055;7;7;7;7;7;7;7;5;6;7;5;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;0;1;1;0;
anketa_10056;6;6;7;6;7;7;4;4;2;7;4;1;1;1;1;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;
anketa_10057;7;6;6;7;6;5;6;5;7;7;4;1;0;1;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;
anketa_10058;7;5;6;6;5;7;4;5;4;7;4;1;0;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;
anketa_10060;3;4;5;7;6;6;7;5;4;6;2;1;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;
anketa_10061;7;5;4;5;3;4;1;4;3;7;3;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;
anketa_10062;6;6;5;5;5;5;4;2;4;7;2;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;
anketa_10063;7;7;7;7;5;7;7;5;4;7;2;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;1;0;
anketa_10064;7;7;7;7;7;7;7;5;4;6;5;1;0;0;0;1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;
anketa_10065;7;7;7;7;7;7;4;6;6;7;6;1;1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;1;0;
anketa_10066;7;7;7;7;7;7;7;4;7;7;3;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
anketa_10067;6;7;7;7;7;7;5;4;7;7;7;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;
anketa_10068;7;7;7;7;7;7;1;6;6;6;6;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;
anketa_10069;3;7;7;7;7;6;5;5;4;7;3;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;
anketa_10070;7;7;7;7;6;6;7;3;6;7;3;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;
anketa_10071;7;4;4;5;4;7;5;3;3;7;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10073;2;1;6;4;1;1;1;1;2;7;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10074;7;6;7;7;7;7;4;2;3;7;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10075;1;3;3;3;5;5;1;1;1;7;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10076;2;2;4;5;3;3;3;5;1;5;5;0;0;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;
anketa_10077;7;3;5;5;1;4;1;4;4;7;3;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
anketa_10078;2;6;6;7;7;7;4;5;5;6;4;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;
anketa_10079;3;7;6;6;6;7;7;5;5;7;5;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;
anketa_10080;7;5;2;7;2;4;7;3;1;6;2;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10081;7;4;7;7;7;5;4;3;1;6;3;0;1;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;
anketa_10082;1;3;3;4;3;4;4;3;1;2;2;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
anketa_10084;7;1;7;7;1;7;7;2;7;7;2;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
anketa_10085;7;7;7;7;5;7;7;6;5;6;6;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;
anketa_10086;7;4;7;7;6;4;2;4;5;7;3;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;
anketa_10088;6;4;4;4;5;5;3;3;3;7;4;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;
anketa_10090;7;7;3;5;3;7;7;3;3;6;7;0;0;0;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;
anketa_10091;5;4;7;7;3;4;1;5;5;3;7;0;0;0;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;
anketa_10092;7;7;7;7;7;7;3;1;3;7;2;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10093;4;4;4;4;4;3;5;4;5;7;7;0;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;
anketa_10094;7;7;6;7;4;5;2;4;6;7;6;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;
anketa_10095;4;5;5;6;6;6;4;5;6;7;5;1;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;
anketa_10096;6;4;5;5;5;6;1;2;2;7;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10097;1;5;5;4;4;4;4;3;1;7;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;
anketa_10098;7;7;7;7;7;7;7;5;4;7;5;1;0;1;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;
anketa_10099;7;7;7;7;7;7;7;5;7;7;4;1;0;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;
anketa_10100;7;7;7;7;3;6;2;4;2;6;1;1;1;1;0;1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;
anketa_10101;2;5;5;7;7;7;1;6;5;6;3;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;
anketa_10102;7;4;1;4;1;5;4;1;1;5;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10103;7;2;4;7;6;4;7;4;2;7;7;1;1;1;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;
anketa_10104;5;5;4;6;5;2;5;4;5;4;2;0;1;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;
anketa_10105;7;7;7;7;6;5;3;3;5;6;3;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;
anketa_10106;5;4;4;3;3;3;4;3;2;4;2;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10107;7;5;7;7;5;7;2;3;1;7;3;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10108;4;5;6;6;4;5;5;4;3;7;4;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;
anketa_10110;4;3;4;4;2;4;3;4;5;7;4;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;1;0;
anketa_10111;7;7;5;7;7;5;6;3;5;7;3;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;
anketa_10112;7;7;7;7;7;7;5;5;6;7;4;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;
anketa_10113;6;7;7;7;7;7;6;4;6;7;4;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10114;6;6;5;6;5;5;1;4;4;6;4;1;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;
anketa_10115;3;4;2;3;6;7;1;3;3;6;1;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;
anketa_10118;5;2;5;3;4;2;5;6;7;7;7;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
anketa_10119;4;5;5;7;7;6;3;3;4;6;5;1;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;
anketa_10120;6;7;4;7;7;7;3;5;7;7;5;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;1;1;0;0;1;0;0;
anketa_10121;4;4;6;6;3;5;2;2;2;5;4;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10122;7;6;4;6;6;7;4;4;5;7;2;0;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;
anketa_10123;7;3;6;5;6;7;4;2;1;7;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10124;7;7;7;7;7;7;7;6;4;7;5;1;0;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;
anketa_10125;4;2;6;7;4;6;2;1;1;2;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10126;1;3;2;4;2;3;2;1;1;7;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10127;7;7;7;7;7;7;7;4;3;2;5;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10128;7;4;7;7;7;6;2;4;6;7;4;1;0;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;
anketa_10130;1;4;6;3;2;5;7;1;2;7;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10131;5;5;7;7;7;6;4;6;4;7;3;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;
anketa_10132;7;3;6;5;4;7;3;5;6;7;4;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;
anketa_10133;5;6;6;6;7;7;7;3;4;5;5;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;
anketa_10134;7;7;7;7;4;6;6;5;7;7;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;
anketa_10135;7;5;4;6;3;4;1;2;3;7;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;
anketa_10136;7;3;5;4;3;5;3;1;5;7;2;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;
anketa_10137;7;4;4;6;6;6;6;3;2;7;5;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10138;7;6;7;6;6;7;2;3;5;7;4;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;1;1;1;0;1;1;0;
anketa_10139;6;7;7;7;7;6;3;3;1;6;3;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;
anketa_10140;6;7;7;7;7;7;4;4;4;7;4;0;1;1;0;1;1;0;0;0;0;1;0;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;
anketa_10141;7;6;6;6;7;7;7;4;2;4;3;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
anketa_10144;7;7;7;4;2;7;1;3;4;7;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10146;2;1;3;2;1;2;2;1;5;7;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10147;5;5;6;6;5;4;3;4;4;6;2;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
anketa_10148;7;5;7;7;4;7;7;4;3;7;4;1;0;1;1;1;1;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;0;
anketa_10149;3;5;4;5;5;5;4;4;6;6;3;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;
anketa_10150;7;5;5;7;6;6;5;5;5;7;2;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;
anketa_10151;7;2;5;4;3;4;2;5;4;6;5;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10152;7;7;5;7;6;7;3;2;4;7;2;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;
anketa_10153;4;5;7;6;5;7;7;4;6;7;3;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10154;7;4;5;5;2;5;4;4;3;3;3;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;
anketa_10155;7;3;7;5;3;5;3;2;1;5;7;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
anketa_10156;3;4;4;6;6;6;4;4;4;7;6;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;
anketa_10157;7;7;6;7;7;7;3;6;5;7;5;1;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;
anketa_10158;6;4;7;6;7;7;5;4;7;7;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10162;7;6;6;6;4;4;1;5;3;6;1;1;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;
anketa_10163;5;4;5;5;4;5;5;3;3;4;4;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10164;4;4;5;4;5;4;5;2;7;5;6;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;
anketa_10165;7;3;6;6;7;7;2;3;4;7;3;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;
anketa_10166;7;7;7;7;7;7;4;2;4;7;2;1;1;1;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;
anketa_10167;7;7;6;7;7;7;6;4;3;6;2;1;1;0;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;
anketa_10168;4;6;7;7;7;7;6;6;7;7;7;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;1;
anketa_10169;1;3;1;5;1;4;1;4;3;4;2;1;1;0;0;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;
