Anketa_Number;A_1;A_2;A_3;A_4;A_5;A_6;A_7;A_8;A_9;A_10;A_11;B_1;B_2;B_3;B_4;B_5;B_6;C1_1;C1_2;C2_1;C2_2;C3_1;C3_2;C4_1;C4_2;C5_1;C5_2;C6_1;C6_2;C7_1;C7_2;C8_1;C8_2;C9_1;C9_2;C10_1;C10_2;Expert;
anketa_10170;2;7;6;7;7;6;4;4;6;7;3;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;
anketa_10171;5;5;6;7;6;6;5;3;5;7;5;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10173;7;7;6;7;7;7;7;6;5;7;6;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;
anketa_10174;5;7;7;7;7;6;5;5;6;6;5;1;1;0;1;0;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;
anketa_10175;7;7;7;7;7;7;3;5;7;7;4;1;1;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;0;1;1;1;
anketa_10176;4;5;6;3;2;5;1;4;3;6;2;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;
anketa_10177;6;7;7;7;7;7;7;5;6;7;5;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1;
anketa_10178;7;3;4;5;5;7;7;4;4;6;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1;
anketa_10179;4;6;6;7;6;6;3;4;7;7;5;1;1;1;0;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;
anketa_10180;6;3;7;6;4;7;7;3;1;7;1;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1;0;1;
anketa_10181;7;2;1;1;2;7;1;2;2;7;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;
anketa_10182;7;6;6;6;5;5;2;2;3;5;2;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;
anketa_10183;7;7;7;7;6;7;7;4;4;7;5;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;1;
anketa_10185;1;7;7;7;7;7;1;6;7;7;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
anketa_10189;3;2;2;1;2;2;4;1;1;2;2;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10190;7;4;3;5;1;7;3;2;3;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10191;4;1;1;5;3;6;4;2;1;4;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10193;1;2;3;3;3;2;2;5;2;7;5;1;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10194;7;1;7;4;2;7;1;1;4;7;1;0;0;0;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10196;6;6;6;6;6;6;6;6;2;6;6;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10197;6;1;6;6;6;6;3;4;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10199;7;1;7;7;7;7;1;4;5;7;4;1;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;
anketa_10200;7;7;2;7;4;7;7;5;7;7;7;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;
anketa_10201;7;6;5;5;6;7;3;5;5;7;6;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;
anketa_10202;7;4;4;5;7;7;1;5;3;7;3;1;0;0;0;1;0;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;1;0;1;1;1;
anketa_10203;6;5;2;5;5;4;1;5;2;7;6;1;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10204;7;6;6;6;4;5;3;5;3;7;5;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10205;7;7;7;7;7;7;6;5;7;6;6;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;
anketa_10206;7;5;6;4;4;6;3;4;3;6;4;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;
anketa_10207;6;6;6;7;5;5;2;5;7;6;5;1;0;1;0;1;1;1;0;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;
anketa_10208;7;5;7;7;6;7;4;4;4;6;2;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;
anketa_10209;5;1;5;3;3;2;1;1;1;7;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10210;6;7;7;7;7;7;7;3;1;7;1;1;0;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;
anketa_10211;7;6;6;6;4;4;4;2;3;3;3;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;
anketa_10212;7;6;6;7;6;7;3;4;5;7;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10213;7;7;6;7;7;7;3;3;4;5;5;1;1;0;1;1;1;1;1;0;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;
anketa_10214;6;6;6;6;6;6;2;4;4;7;4;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;
anketa_10215;6;5;7;7;6;7;3;2;1;4;5;1;0;1;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;
anketa_10216;7;7;7;7;7;7;7;6;6;6;5;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;1;1;1;
anketa_10217;7;7;7;7;7;7;2;6;7;7;4;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;1;1;0;1;1;1;
anketa_10218;1;3;1;5;1;6;2;4;3;5;3;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1;
anketa_10219;5;4;4;5;4;6;1;3;2;5;5;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;
anketa_10220;5;3;4;5;3;6;3;4;5;3;3;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;
anketa_10221;7;6;7;7;4;7;3;4;7;7;2;0;1;1;0;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;
anketa_10222;7;7;7;7;7;7;7;5;7;7;5;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;1;1;0;0;1;1;1;
anketa_10224;7;5;7;7;6;7;5;1;3;4;5;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;
anketa_10225;3;3;7;4;3;4;1;5;5;7;5;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;
anketa_10226;6;4;5;6;4;4;1;6;4;7;6;1;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;
anketa_10227;6;6;7;5;5;2;3;3;2;7;3;0;0;1;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;
anketa_10230;1;3;4;3;4;6;3;1;2;7;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10231;6;6;4;7;5;4;3;2;3;6;5;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10233;6;6;5;5;4;6;5;5;4;5;4;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10236;7;5;2;6;4;5;1;2;4;6;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;
anketa_10238;6;5;6;6;6;7;3;4;4;7;3;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10239;7;7;6;7;7;7;7;3;4;7;5;0;0;0;1;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;
anketa_10240;6;4;6;4;6;7;6;3;5;7;3;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10241;6;5;7;6;6;6;5;4;6;7;4;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;
anketa_10242;7;7;7;7;7;6;2;5;6;7;2;0;1;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;
anketa_10243;1;7;7;7;4;6;2;4;5;7;4;1;1;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;1;
anketa_10244;4;4;3;5;3;6;6;3;2;6;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10245;7;7;7;7;7;7;7;3;2;6;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10246;5;3;6;5;7;6;2;3;5;6;2;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;
anketa_10247;3;6;7;6;5;6;3;3;6;7;6;1;1;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;
anketa_10248;6;5;6;6;6;6;2;4;5;7;7;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;
anketa_10249;4;5;7;6;5;6;4;4;6;7;7;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;
anketa_10250;7;5;7;7;5;6;2;3;4;7;2;1;1;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;
anketa_10251;6;2;4;6;2;4;4;4;2;5;4;1;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;
anketa_10252;7;6;7;7;7;6;5;4;5;6;4;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;
anketa_10281;2;1;5;3;2;6;1;2;3;5;2;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;
anketa_10282;7;2;2;3;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10283;7;7;4;7;7;7;1;1;7;6;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10284;4;4;5;4;3;5;3;3;1;2;3;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;
anketa_10285;3;5;6;6;3;4;4;4;4;7;4;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;
anketa_10286;6;6;6;6;6;6;3;5;6;7;4;1;0;1;0;0;1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;1;1;1;
anketa_10287;7;6;6;6;7;6;1;4;5;7;4;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1;1;
anketa_10288;7;3;1;3;2;4;2;2;1;5;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10289;5;4;2;5;4;6;2;2;2;6;4;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;
anketa_10290;3;4;3;5;4;3;1;3;1;3;3;0;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;
anketa_10292;7;7;7;7;7;7;6;7;3;3;5;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10293;3;2;3;3;2;4;3;2;5;7;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;
anketa_10294;4;4;2;7;5;4;3;3;2;5;4;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;1;
anketa_10295;7;7;7;7;7;7;7;3;7;7;2;1;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;1;
anketa_10296;4;4;4;3;6;4;1;2;3;4;2;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10297;7;4;6;5;6;7;1;1;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10298;7;3;6;4;4;5;1;1;1;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10300;7;3;7;4;7;7;1;2;1;4;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10301;7;1;7;4;1;1;1;1;1;4;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10302;1;2;1;4;4;6;1;1;1;6;1;1;1;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10303;4;5;3;7;7;7;1;2;4;7;3;0;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10304;5;4;2;2;2;4;3;1;2;3;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10305;5;4;6;6;5;5;4;4;4;7;3;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;1;
anketa_10306;7;5;6;7;6;7;6;4;5;7;7;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;
anketa_10307;7;4;2;2;2;1;3;3;1;6;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10309;3;6;6;6;5;6;4;3;7;7;2;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;
anketa_10310;5;4;3;4;5;5;5;1;7;6;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10311;7;7;7;7;7;7;1;4;7;7;4;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10314;3;5;7;7;5;7;7;4;3;7;4;1;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;
anketa_10315;1;5;3;6;6;6;1;3;3;5;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10316;6;4;5;4;3;4;5;3;5;4;5;1;1;1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;
anketa_10317;3;1;1;1;1;1;1;1;3;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10318;1;1;1;1;1;1;1;1;3;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10319;4;4;4;4;4;4;4;5;7;7;5;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10320;7;7;7;7;7;7;7;4;6;7;4;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10321;1;2;3;4;3;3;3;1;1;2;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10322;6;3;2;3;1;2;1;2;5;3;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10323;5;4;3;6;4;5;3;2;5;7;3;1;1;1;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;
anketa_10324;2;4;4;4;2;5;1;2;1;3;4;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;
anketa_10325;1;7;7;7;4;5;7;4;7;6;3;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;
anketa_10326;6;5;5;6;6;5;2;3;1;7;3;1;0;0;0;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;
anketa_10327;7;7;5;7;6;6;2;4;2;7;4;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;
anketa_10328;7;7;5;7;5;7;3;4;1;5;3;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;
anketa_10329;7;7;7;7;7;7;2;4;6;7;4;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;
anketa_10330;6;6;6;6;6;7;7;5;3;7;2;1;0;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;1;
anketa_10331;7;7;7;7;6;7;2;2;3;7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
anketa_10333;1;7;7;7;7;7;2;2;1;7;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;
anketa_10335;7;7;7;3;7;7;7;3;1;6;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10336;5;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;
anketa_10337;5;2;2;1;1;2;1;3;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10338;3;2;2;2;2;3;2;2;1;3;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10339;6;5;3;3;3;5;1;1;1;3;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10340;4;3;3;3;2;3;2;3;4;4;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10341;4;1;3;1;1;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10342;7;3;1;6;4;4;4;3;6;7;1;0;0;1;0;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;
anketa_10343;5;7;5;7;6;7;3;3;5;7;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10344;5;7;2;6;6;7;1;1;7;7;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;
anketa_10345;7;4;2;4;3;5;3;1;7;4;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;
anketa_10346;6;5;5;7;3;5;2;1;3;7;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
anketa_10347;3;2;1;6;1;3;1;1;1;7;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10348;7;7;5;4;3;3;7;4;3;6;2;1;0;0;0;1;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;
anketa_10349;2;1;4;4;1;3;2;3;3;7;3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10350;3;3;5;5;3;4;4;4;6;4;6;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;
anketa_10351;3;6;6;7;6;6;3;4;3;7;7;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10352;5;5;4;7;6;6;1;3;4;7;4;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
anketa_10355;2;6;5;5;5;5;2;4;4;7;2;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10356;5;7;7;7;7;7;5;3;5;7;3;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;
anketa_10357;7;1;7;7;1;1;4;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10358;2;3;2;4;3;5;3;2;4;6;4;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10359;1;7;7;7;7;6;7;4;5;7;4;1;1;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10360;1;3;4;2;1;3;2;4;5;7;4;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10363;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10364;7;7;7;7;7;7;7;6;6;6;5;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10366;1;1;3;1;1;2;1;2;1;2;2;1;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10368;7;5;1;6;1;7;1;3;5;2;2;1;1;0;0;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
